epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2845.46,0.75019,0.73968,1.14484,0.76595,0.74341,0.82056,0.66268,0.83091,1.19864,1.19821,0.000660045,0.000660045,0.000660045
43,65.8916,0.74892,0.72461,1.11172,0.79869,0.78795,0.83173,0.67861,0.80995,1.10647,1.18296,0.000649046,0.000649046,0.000649046
44,141.003,0.84382,0.97197,1.21426,0.00193,0.06333,0.00418,0.00207,3.13459,76.3683,38.6384,0.000638047,0.000638047,0.000638047
45,213.327,0.87888,1.21751,1.27731,0.93583,0.1568,0.3114,0.18308,2.12853,4.15918,3.41494,0.000627048,0.000627048,0.000627048
46,271.143,0.83852,0.89552,1.19021,0.59809,0.52221,0.54736,0.39192,1.47634,2.55339,2.31331,0.000616049,0.000616049,0.000616049
47,328.816,0.80735,0.88459,1.17297,0.4772,0.62026,0.50015,0.37747,1.27038,5.89913,1.73324,0.000605051,0.000605051,0.000605051
48,388.517,0.76751,0.76647,1.14268,0.54964,0.70727,0.55382,0.42506,1.06732,11.0116,1.44088,0.000594052,0.000594052,0.000594052
49,452.66,0.78248,0.77568,1.17062,0.64513,0.83869,0.69797,0.53876,0.96753,2.43485,1.38558,0.000583053,0.000583053,0.000583053
50,532.441,0.73966,0.67747,1.13547,0.75054,0.76576,0.81591,0.6522,0.91069,1.13701,1.35129,0.000572054,0.000572054,0.000572054
51,605.442,0.77305,0.68758,1.14107,0.76625,0.77576,0.82843,0.65467,0.86814,1.12672,1.26606,0.000561055,0.000561055,0.000561055
52,687.876,0.76772,0.69933,1.13935,0.77265,0.85047,0.83579,0.65037,0.89374,1.08227,1.25717,0.000550056,0.000550056,0.000550056
53,746.713,0.75334,0.65789,1.15901,0.75706,0.76918,0.7516,0.60047,0.8769,1.24464,1.24187,0.000539057,0.000539057,0.000539057
54,812.702,0.75471,0.65696,1.1351,0.75336,0.83407,0.84102,0.69592,0.90614,0.95537,1.24165,0.000528058,0.000528058,0.000528058
55,867.556,0.68813,0.57574,1.0967,0.82468,0.78785,0.85661,0.69486,0.89418,0.93339,1.22412,0.000517059,0.000517059,0.000517059
56,925.475,0.73402,0.63148,1.13969,0.87752,0.86703,0.88344,0.73119,0.78257,0.84646,1.14473,0.00050606,0.00050606,0.00050606
57,988.453,0.68827,0.61481,1.10399,0.8321,0.80521,0.85876,0.70087,0.81685,0.94388,1.20757,0.000495062,0.000495062,0.000495062
58,1044,0.74755,0.65781,1.13754,0.91658,0.75207,0.83703,0.68903,0.81183,0.98658,1.18729,0.000484063,0.000484063,0.000484063
59,1098.56,0.72028,0.62538,1.13559,0.76605,0.85047,0.84036,0.69261,0.82773,1.13048,1.22975,0.000473064,0.000473064,0.000473064
60,1168.53,0.72002,0.65996,1.12724,0.80255,0.81297,0.81733,0.66096,0.84504,1.37562,1.2171,0.000462065,0.000462065,0.000462065
61,1230.41,0.70701,0.61442,1.12841,0.75948,0.7862,0.81906,0.67091,0.81298,1.26088,1.19145,0.000451066,0.000451066,0.000451066
62,1297.44,0.68568,0.56105,1.10338,0.80128,0.79041,0.81654,0.65705,0.87545,1.20847,1.25982,0.000440067,0.000440067,0.000440067
63,1352.84,0.63106,0.56001,1.05396,0.78635,0.84666,0.8115,0.64364,0.8536,1.19115,1.26373,0.000429068,0.000429068,0.000429068
64,1410.52,0.69687,0.58362,1.10124,0.75529,0.83464,0.81151,0.65431,0.85191,1.2564,1.27076,0.000418069,0.000418069,0.000418069
65,1463.95,0.65811,0.56886,1.06381,0.73783,0.84408,0.83707,0.68462,0.7866,0.9702,1.17581,0.00040707,0.00040707,0.00040707
66,1518.62,0.68637,0.58051,1.11358,0.71943,0.85465,0.84195,0.707,0.76736,0.93184,1.16052,0.000396071,0.000396071,0.000396071
67,1572.66,0.64162,0.53335,1.07738,0.83549,0.80837,0.87309,0.71989,0.8033,0.92845,1.16988,0.000385073,0.000385073,0.000385073
68,1640.67,0.63979,0.55863,1.08461,0.84469,0.80092,0.87368,0.72383,0.81036,0.93943,1.17485,0.000374074,0.000374074,0.000374074
69,1700.43,0.68877,0.56606,1.09975,0.82059,0.87545,0.88238,0.71598,0.85571,0.91883,1.25711,0.000363075,0.000363075,0.000363075
